index,address_1,address_2,name,expiration_date
1257,ŚW. ANNY,4,WŁODARCZYK-KAZUBOWSKA DOROTA,2022-09-15
1258,ŚW. ANNY,5,DASOM SPÓŁKA Z O.O.,2025-01-24
1259,ŚW. ANNY,7,"GAWRON ELŻIETA, GAWRYLUK MIROSŁAW",2022-02-28
1260,ŚW. ANNY,11,"SITEK MATEUSZ, SITEK ŁUKASZ",2021-01-26
1261,ŚW. DUCHA,1,WITYŃSKI ALEKSANDER,2022-06-21
1262,ŚW. FILIPA,11,JANKIEL KRZYSZTOF,2021-05-29
1263,ŚW. FILIPA,18,HOTEL FILIPA 18 SPÓŁKA Z O.O.,2024-12-15
1264,ŚW. FILIPA,25,KDG TURYSTYKA SPÓŁKA Z O.O.,2024-11-14
1265,ŚW. FILIPA,16/2,HANDELEK SPÓŁKA Z O.O.,2023-04-26
1266,ŚW. GERTRUDY,5,CZYNCIEL BOŻENA,2022-03-31
1267,ŚW. GERTRUDY,6,RT HOTELS SPÓŁKA AKCYJNA,2026-12-14
1268,ŚW. GERTRUDY,10,PREMIUM HOTELS PERGAMIN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWO-AKCYJNA,2026-09-30
1269,ŚW. GERTRUDY,12,LEGENDZIEWICZ JACEK,2021-08-08
1270,ŚW. GERTRUDY,21,BARAN JAN,2023-07-31
1271,ŚW. GERTRUDY,7/1,SZAŁAPAK MARIA,2027-05-04
1272,ŚW. GERTRUDY,7/3,KOI SUSHI SPÓŁKA Z O.O. SPÓŁKA KOMANDYTOWA,2022-03-12
1273,ŚW. GERTRUDY,26-29,POLSKIE RESTAURACJA ROYAL PLEJADES 4 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,2020-10-25
1274,ŚW. GERTRUDY,26-29,AMW HOTELE SPÓŁKA Z O. O.,2020-05-19
1275,ŚW. JANA,1,CRACOW ROYAL CENTER SP. Z O.O.,2021-06-17
